ImageId,R1C1,R1C2,R2C1,R2C2,IsStairs
1,252,4,155,175,1
2,175,10,186,200,1
3,82,131,230,100,0
4,115,138,80,88,0
5,27,60,194,238,0
6,254,165,45,15,0
7,7,238,224,163,1
8,61,209,29,121,0
10,152,3,200,175,1
11,242,6,216,175,1
12,238,90,239,47,0
15,1,173,248,203,1
18,71,51,126,186,0
20,207,45,230,128,0
21,235,93,57,120,0
22,111,94,105,25,0
23,212,4,167,250,1
24,4,234,212,237,1
25,1,224,187,163,1
26,177,234,58,101,0
27,189,51,132,195,0
28,0,231,243,202,1
29,5,176,244,249,1
30,161,150,67,93,0
31,9,165,215,217,1
32,12,112,52,162,0
33,112,240,61,29,0
35,7,170,171,150,1
36,29,237,239,115,0
37,238,8,40,37,0
38,195,3,226,205,1
39,6,212,169,235,1
40,227,71,222,117,0
41,191,3,188,248,1
42,211,2,182,191,1
43,224,5,160,223,1
45,161,8,240,166,1
46,196,6,162,193,1
48,137,147,19,218,0
49,9,154,158,177,1
50,198,78,30,169,0
51,121,143,107,77,0
53,170,140,215,117,0
54,44,197,229,169,0
55,223,1,188,183,1
57,162,241,133,30,0
58,220,142,100,127,0
59,9,254,230,247,1
60,250,253,31,53,0
61,129,104,177,146,0
62,150,236,169,120,0
63,173,156,106,178,0
64,172,1,181,204,1
65,128,191,183,204,0
66,80,156,12,165,0
67,80,133,168,171,0
69,4,173,80,82,0
70,195,77,65,24,0
71,123,175,8,235,0
72,7,170,171,173,1
73,62,220,85,30,0
74,217,4,227,254,1
75,3,170,192,251,1
76,219,6,182,98,0
77,156,4,178,195,1
78,231,2,153,153,1
79,218,2,201,219,1
80,23,116,172,198,0
81,221,163,173,153,0
82,200,127,93,121,0
83,7,239,223,212,1
84,168,4,184,244,1
85,214,5,230,231,1
87,100,58,171,69,0
88,252,6,207,214,1
92,0,216,201,52,0
93,2,175,234,162,1
94,182,44,6,200,0
95,113,180,232,242,0
96,164,3,213,165,1
97,197,6,207,229,1
99,10,253,220,234,1
101,68,187,28,193,0
102,150,5,181,167,1
106,166,255,31,0,0
108,14,168,196,178,0
109,10,186,247,252,1
110,192,128,93,154,0
112,8,226,210,166,1
113,202,230,206,135,0
114,195,1,237,195,1
115,251,0,179,170,1
116,126,129,177,243,0
117,225,121,53,16,0
118,212,113,5,69,0
120,156,8,174,220,1
122,117,239,46,92,0
123,185,199,153,45,0
124,153,1,166,196,1
125,99,125,146,155,0
126,3,189,193,222,1
127,2,223,251,248,1
128,248,50,198,45,0
129,27,250,174,130,0
131,231,10,144,251,0
132,159,6,252,211,1
135,43,242,163,78,0
138,130,71,52,145,0
139,49,208,78,157,0
141,180,203,59,15,0
142,170,1,170,255,1
144,212,156,169,67,0
146,10,178,187,254,1
147,86,25,120,242,0
148,2,179,201,226,1
149,204,166,228,106,0
150,79,7,40,177,0
151,117,1,26,50,0
152,165,2,243,228,1
153,47,35,114,222,0
155,56,148,37,130,0
156,202,6,225,214,1
157,5,204,202,234,1
159,128,34,192,48,0
161,222,0,155,225,1
162,17,157,253,94,0
163,162,1,229,150,1
164,79,34,174,20,0
165,7,194,165,165,1
166,120,233,206,30,0
167,216,4,227,245,1
170,5,169,244,182,1
172,24,24,102,143,0
173,4,238,247,154,1
174,6,76,41,1,0
175,205,1,232,182,1
177,4,177,242,156,1
179,83,48,108,197,0
180,254,9,228,204,1
182,108,196,32,5,0
183,211,10,230,237,1
184,138,56,159,34,0
185,3,237,177,246,1
186,88,236,139,16,0
188,10,167,182,218,1
190,1,156,200,177,1
191,47,122,56,7,0
192,9,179,152,219,1
193,1,188,225,183,1
194,251,166,131,37,0
196,232,0,243,180,1
197,1,192,185,231,1
199,1,253,223,193,1
200,184,173,161,95,0
201,145,66,148,43,0
202,153,229,5,72,0
203,22,117,119,12,0
205,24,109,108,253,0
206,187,251,62,209,0
207,198,2,212,224,1
208,113,127,206,57,0
209,8,252,216,171,1
210,203,121,165,148,0
211,200,36,220,233,0
212,6,187,243,249,1
213,207,10,215,218,1
215,5,195,235,226,1
216,12,170,112,174,0
217,146,77,95,60,0
218,2,152,186,247,1
219,18,52,89,255,0
220,182,10,205,169,1
221,4,167,246,175,1
223,117,246,114,142,0
225,145,42,12,199,0
227,188,96,205,59,0
228,194,32,17,150,0
229,124,221,209,197,0
230,242,11,122,188,0
231,209,10,221,174,1
234,179,1,159,245,1
235,247,11,192,10,0
236,197,7,237,208,1
237,205,8,207,191,1
238,171,5,152,235,1
239,126,134,159,105,0
240,0,212,169,167,1
241,206,153,199,232,0
242,205,128,151,166,0
246,3,191,158,166,1
247,1,189,163,168,1
248,189,11,237,90,0
249,246,9,218,185,1
250,5,247,193,150,1
252,4,151,172,249,1
253,216,1,189,170,1
254,10,162,213,235,1
255,66,223,200,66,0
256,5,172,183,239,1
257,47,250,8,88,0
258,41,177,130,80,0
259,119,180,244,172,0
260,61,21,42,51,0
261,175,1,244,206,1
263,84,210,149,70,0
264,68,175,6,145,0
265,118,206,138,77,0
266,10,150,166,165,1
267,148,190,58,79,0
268,200,10,181,220,1
269,1,187,197,180,1
271,4,183,157,209,1
273,6,173,195,175,1
274,185,237,233,247,0
275,101,201,218,198,0
276,166,157,67,54,0
278,13,236,240,33,0
279,4,239,168,190,1
280,4,171,240,206,1
281,5,205,246,196,1
282,50,130,254,76,0
284,203,2,166,178,1
286,9,234,245,203,1
287,8,230,244,214,1
288,6,206,215,204,1
289,226,3,205,151,1
291,178,2,182,197,1
293,217,9,202,188,1
294,53,241,197,81,0
295,4,155,231,205,1
296,2,172,169,219,1
297,0,203,235,227,1
298,181,2,155,221,1
299,188,4,254,245,1
300,121,172,84,38,0
302,0,196,216,188,1
304,212,3,225,202,1
305,202,0,242,224,1
306,10,152,248,175,1
307,87,40,162,121,0
308,100,185,87,103,0
309,218,10,169,182,1
310,0,180,229,237,1
311,2,225,165,157,1
313,254,210,162,5,0
314,10,255,202,222,1
315,224,128,5,158,0
316,1,174,165,205,1
317,182,1,218,218,1
319,235,1,234,167,1
320,48,124,95,215,0
321,199,5,244,235,1
322,229,27,100,211,0
323,137,174,107,190,0
324,161,0,185,201,1
325,223,220,125,138,0
326,23,75,15,44,0
328,6,167,195,184,1
330,8,241,227,175,1
331,238,9,235,153,1
332,8,205,217,158,1
333,214,249,171,143,0
334,89,77,176,39,0
335,3,181,206,230,1
336,170,10,246,172,1
340,0,230,224,251,1
341,149,127,170,93,0
342,86,133,189,139,0
343,93,45,120,42,0
344,60,120,248,156,0
346,253,5,160,161,1
347,120,156,187,142,0
348,5,198,210,188,1
350,14,66,213,199,0
351,173,10,223,217,1
352,190,69,226,12,0
353,192,5,156,195,1
354,164,200,10,243,0
355,7,188,187,191,1
356,181,28,182,255,0
359,7,175,232,251,1
360,118,109,48,39,0
361,6,219,165,234,1
362,10,170,174,241,1
363,4,203,154,151,1
366,174,212,27,212,0
367,225,13,210,144,0
368,226,166,236,22,0
369,5,187,198,205,1
370,152,229,250,110,0
372,72,39,149,5,0
373,9,188,189,220,1
375,122,128,33,64,0
376,62,58,247,204,0
378,1,204,226,187,1
379,197,7,218,151,1
380,162,6,153,244,1
381,26,16,40,118,0
382,212,2,231,234,1
383,146,174,115,1,0
384,170,2,151,230,1
385,117,57,224,235,0
386,0,171,243,166,1
388,69,222,28,245,0
389,140,136,135,234,0
390,157,75,116,247,0
391,186,7,240,158,1
392,49,161,126,146,0
393,110,73,147,15,0
394,116,17,83,43,0
396,194,6,160,210,1
397,237,4,227,226,1
398,106,79,214,171,0
399,226,1,200,184,1
400,179,242,38,57,0
401,198,152,118,253,0
402,10,166,177,208,1
403,66,243,89,241,0
404,124,198,38,113,0
405,208,0,163,201,1
406,7,159,173,244,1
407,181,5,157,152,1
410,91,161,202,86,0
411,0,210,192,249,1
412,218,1,236,197,1
413,202,4,177,221,1
415,1,218,150,163,1
416,204,4,235,224,1
417,206,37,163,210,0
418,241,94,102,117,0
419,4,221,198,204,1
420,243,6,246,210,1
421,157,6,185,244,1
422,82,160,128,107,0
423,174,8,186,244,1
425,91,165,24,173,0
426,9,169,161,211,1
427,0,225,211,224,1
428,159,6,191,215,1
430,0,213,185,194,1
431,168,3,232,160,1
432,153,8,251,155,1
433,63,20,56,89,0
434,6,237,207,164,1
435,181,133,8,77,0
436,131,0,1,40,0
438,0,227,228,207,1
439,177,2,233,204,1
440,119,202,196,189,0
441,167,10,217,250,1
443,198,0,198,205,1
444,110,66,195,240,0
445,10,168,246,180,1
447,126,69,132,105,0
448,176,164,27,155,0
450,223,2,222,250,1
451,62,33,208,187,0
452,192,1,221,222,1
453,170,15,200,56,0
455,201,2,241,250,1
456,7,150,169,216,1
457,27,180,144,44,0
459,85,44,127,52,0
460,229,3,239,206,1
461,113,141,117,180,0
462,4,244,195,189,1
463,168,173,107,137,0
464,1,250,247,233,1
465,4,209,247,165,1
466,121,117,4,230,0
467,0,226,178,253,1
468,208,92,163,75,0
470,174,45,149,2,0
472,114,173,255,119,0
473,212,25,156,193,0
474,196,10,224,202,1
475,3,224,230,201,1
476,185,248,211,229,0
477,142,229,116,111,0
478,235,127,145,206,0
479,223,10,185,169,1
480,203,6,196,215,1
481,224,27,246,41,0
482,18,177,233,240,0
484,171,10,213,152,1
485,25,24,113,176,0
486,216,6,252,222,1
487,3,173,159,229,1
488,184,5,237,241,1
489,137,190,65,247,0
490,152,132,102,90,0
491,223,9,160,255,1
493,158,21,61,144,0
494,227,8,159,249,1
495,12,61,158,248,0
496,188,4,177,240,1
497,4,166,231,169,1
498,36,187,43,249,0
499,1,160,169,242,1
500,198,134,22,188,0
